Time (seconds),angle_std,angle_medium,angle_median,velocity_std,velocity_medium,velocity_median,acceleration_std,acceleration_medium,acceleration_median,Classification
2,9.39063531632355,31.55528063917811,34.363645927042825,2.27897306899694,-0.4211054816566603,-0.6885175474176854,0.7057963736357256,-0.0958400264664492,-0.0578656627875089,indirect
3,19.436715376243363,22.696155068188627,20.515939831660287,3.284229687718615,1.1360150521531889,1.8484214418118512,0.8514574661291843,0.0047582896982759,0.1567020682491142,indirect
4,9.11456465096311,16.316147310517017,16.799366072532223,4.29446570180776,-0.5792365043995379,-1.4584836255509632,1.5248320188000288,0.1668759971387236,0.4539424773377709,indirect
5,24.480079760709724,58.707685813860266,66.2480828340276,6.974017984082116,1.9905529002597429,3.574295859737441,1.6710307029295166,-0.8564173801923842,-1.0457136093562216,indirect
6,12.537719369816132,37.74920574426797,44.34958212833669,4.0199106147482055,-0.0478925119692453,0.3485857726887094,1.3376406110771075,0.4141498220277814,-0.0636504226592853,indirect
7,16.586672901067782,24.25914342044329,19.66926637950978,5.486959368562188,-0.8478314724327554,-0.2235501086834341,2.4302948235969137,0.0750829241634474,-0.1429343575216977,indirect
8,9.966020155019596,41.45750287492329,42.912431935626046,2.447059206742771,1.2445845061013416,1.4521084381979357,0.8930813598084081,-0.0176864948798841,0.1180661215560605,indirect
9,6.157302481521646,71.43653313129083,74.62927058430182,0.5510838385931788,0.6759429959519603,0.6324286378540158,0.0722100108493991,-0.0464456258585944,-0.0325741982437292,indirect
10,0.9629352071234494,76.79809518488227,76.70863916819881,0.1841405866633695,0.0705440630135486,0.1324623618706652,0.0420675310727126,0.011095319232695,0.011133807282631,indirect
11,1.6616271082383107,83.30289662746173,84.16784524029943,0.3383228164718542,0.101819560114842,0.0873418713680748,0.0903216351953209,-0.0149129990385597,-0.0071820472860899,indirect
12,18.27545035522956,50.91167691034792,46.571778888990735,3.8649081361363447,-1.5969554855654238,-0.8366339610917599,1.386222610905668,-0.114497940245183,-0.4501341304465809,indirect
13,8.812097629487491,12.803655186440745,12.992451799854273,2.317385114167375,-0.8308363625006351,-1.600071006555749,0.9580770022348636,0.1531427203273388,0.2034183064690977,indirect
14,3.4227924907553096,12.245421000228788,12.245421000228788,1.381373857937365,3.795545867670564,3.795545867670564,0.5723152192273624,2.331465411261679,2.331465411261679,indirect
16,17.885368908851504,52.47429366273322,51.49483940000759,7.7019628388112675,3.599330799288089,6.957238683860729,2.8213431924830914,-0.160158520982781,-0.0602323997915749,indirect
0,1.5490972493045756,78.92616953168421,78.5019450270712,0.6542229993178877,-0.2276270094854425,0.0264347769054679,0.1627132595647296,0.0748435090127082,0.0333167473937887,indirect
1,1.1743256095640822,80.2730490813291,79.5834845951143,0.1796470522888983,0.0853180373581442,0.0305034015459852,0.0592917411013288,-0.0107506883679378,-0.0119164007075234,indirect
2,9.213840171759427,70.82063736857253,72.92042911847182,2.028670712735423,-1.3985896554675918,-0.7417703877862287,0.6946990121308007,-0.264828360471828,-0.0487013495361576,indirect
3,28.691985373873614,48.62994539657165,35.881041882322606,8.081774113516621,-1.0290905942080455,-2.2418460799169284,2.971016351780309,0.2389598255927614,-0.0441394322432011,indirect
4,6.282522617094879,19.212345950079936,17.082696670131753,2.362150883586243,0.0999639506766237,0.0284000954623326,1.048608896232814,-0.0281214464284534,0.3346273998549532,indirect
5,11.811605792514367,49.28372884407183,52.42909074127586,3.5598297421268827,1.978878770972774,0.9445839887815808,1.033480610149211,-0.2292611503302506,0.1063884861721877,indirect
6,5.633671187627194,62.59102034523567,62.92020719239684,0.2456990688848612,0.6725019599918849,0.6555381254727362,0.1106128131213382,0.0052357164493834,0.0363645208097036,indirect
7,4.185372608794236,82.76025314381951,84.25318926384978,0.3257850831731039,0.4432549740503418,0.5121944317391467,0.0573442371056173,-0.0371612511168813,-0.0335561942833315,indirect
8,2.4845400844522896,86.13871600705346,86.87858510937282,0.3558484613942455,-0.2258939477827117,-0.2860922938735264,0.086806227531906,-0.0112527363786741,-0.0058051210688176,indirect
9,2.602644962320966,81.51754982549643,80.19314334051344,0.3469148469870692,0.1644418579905718,0.0405785126745747,0.1011975814134252,0.016461757836845,0.0186457064342934,indirect
10,1.981957835937276,82.8490356462421,82.31528671017949,0.3203813074816224,-0.0936098497422082,-0.0263769150627375,0.0871021830294794,-0.0075755491320471,-0.0067534725459416,indirect
